29	63	26	97	21	33	94	17	14	87	84	14	18	39	61	93	99	82	36	68	57	7252	9230	5452	6493
88	35	87	47	88	24	86	52	18	94	67	43	29	6643	4645	-1	34	20	50	26	83	-1	-1	9394	6250
76	9368	4548	-1	65	20	24	38	84	84	50	77	27	5556	9670	-1	84	88	50	97	23	-1	-1	-1	-1
89	4628	4756	-1	95	91	30	35	59	88	63	73	37	-1	-1	-1	95	82	49	16	83	22	37	60	229
43	9567	1010	-1	56	88	93	72	29	1333	1994	-1	97	81	51	-1	52	80	92	-1	99	67	85	83	619
62	-1	-1	-1	21	68	63	95	68	5016	8092	-1	99	90	70	-1	21	65	22	-1	98	43	35	63	478
81	45	32	-1	16	68	79	16	26	8413	8043	-1	18	65	14	81	12	-1	-1	-1	11	23	79	38	556
96	51	39	-1	90	68	50	10	67	1764	7973	-1	49	81	56	16	73	73	31	-1	41	55	64	61	187
22	97	44	-1	76	92	96	71	9	-1	-1	-1	58	82	47	45	92	87	40	-1	36	66	54	50	791
74	60	94	30	35	36	34	99	45	46	85	-1	13	48	62	59	63	39	55	55	55	55	77	91	419
20	34	70	96	68	38	77	21	43	85	97	-1	13	21	37	8578	7948	-1	7	7	7	7	-1	-1	274
58	56	34	55	44	70	65	80	75	20	24	-1	86	40	85	2794	9746	-1	51	51	51	51	27	97	483
88	50	94	88	40	35	17	44	44	51	37	-1	81	77	54	4615	9813	-1	66	66	66	66	74	72	895
70	99	23	92	20	1785	2444	-1	41	65	13	43	74	11	23	-1	-1	-1	34	34	34	34	21	29	772
85	51	94	13	55	6820	1487	-1	67	40	36	62	73	63	68	61	23	-1	39	39	39	39	99	34	197
21	11	17	26	70	-1	-1	-1	54	42	12	24	10	41	44	66	95	-1	5	5	1253	7444	-1	21	878
37	21	76	96	24	59	98	-1	42	62	26	16	63	41	19	43	83	-1	83	83	3139	2404	-1	75	227
87	69	97	16	62	79	56	-1	73	49	21	45	35	65	74	54	76	14	63	79	7528	1748	-1	93	291
36	13	20	89	20	30	17	66	1429	8615	-1	78	11	66	26	30	65	42	62	67	-1	-1	-1	62	817
83	8651	-1	91	65	74	32	2	5606	6429	-1	56	72	88	42	45	36	65	89	81	59	22	-1	66	553
45	-1	-1	34	87	23	26	80	-1	-1	-1	47	62	32	33	67	32	41	97	35	45	99	-1	33	160
16	71	45	40	64	12	62	88	26	12	-1	21	38	91	57	99	66	97	13	91	81	55	-1	32	929
6578	7617	3823	3564	-1	-1	32	87	86	21	-1	44	32	76	72	89	50	26	99	13	48	39	87	82	110
3630	7050	7615	4567	-1	-1	71	51	55	52	14	83	62	56	22	71	36	31	79	30	27	33	40	75	652
1197	3782	3830	7384	5508	-1	893	737	490	778	132	589	463	711	324	673	891	352	368	861	502	627	248	609	894
